Movie,2015_sales
Star_Wars:_The_Force_Awakens,936.7
Jurassic_World,652.3
Avengers:_Age_of_Ultron,459
Inside_Out,356.5
Furious_7,353
Minions,336
The_Hunger_Games:_Mockingjay_Part_2,281.7
The_Martian,228.4
Cinderella,201.2
Spectre,200.1
Mission_Impossible_Rogue_Nation,195
Pitch_Perfect_2,184.3
The_Revenant,183.6
Ant-Man,180.2
Home,177.4
Hotel_Transylvania_2,169.7
Fifty_Shades_of_Grey,166.2
The_Spongebob_Movie:_Sponge_Out_of_Water,163
Straight_Outta_Compton,161.2
San_Andreas,155.2
